source,author,title,description,url,urlToImage,publishedAt,content,date,sentiment_score
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Neha Vashishth,ET Markets Watch: Sensex falls 572 points; 5 reasons behind Nifty crash,"Markets extended losses today as multiple headwinds weighed on investor sentiment. The Sensex dropped 572 points, closing at 80,891, and the Nifty fell 156 points, ending at 24,680.",https://economictimes.indiatimes.com/markets/stocks/etmarkets-podcast/et-markets-watch-sensex-falls-572-points-5-reasons-behind-nifty-crash/podcast/122955720.cms,https://img.etimg.com/photo/122955720.cms,2025-07-28 13:46:58+00:00,"Hi, you're listening to ET Markets Radio, I am your host Neha Vashishth.Welcome to a fresh episode of ET Market Watch, where we bring you the latest news from the world of stock markets every single … [+2299 chars]",2025-07-28,-0.9998552126708091
"{'id': None, 'name': 'Ndtvprofit.com'}",Prajwal Jayaraj,"Nifty Support Moves To 24,500 Levels After Third Straight Day Of Decline","The NSE Nifty 50 sees major support at 24,400-24,500 levels after extending its decline for a third consecutive day, according to analysts at Bajaj Broking Research. ""Major support is seen in the 24,500–24,400 zone, which coincides with last month’s low, the …",https://www.ndtvprofit.com/markets/trade-setup-for-july-29-nifty-support-moves-to-24500-levels-after-third-straight-day-of-decline,https://media.assettype.com/bloombergquint%2F2025-07-28%2F35ha5lqc%2Fworkplace-of-freelancer-2025-01-31-06-36-16-utc.jpg?w=1200&auto=format%2Ccompress&ogImage=true,2025-07-28 13:22:50+00:00,"The NSE Nifty 50 sees major support at 24,400-24,500 levels after extending its decline for a third consecutive day, according to analysts at Bajaj Broking Research.
""Major support is seen in the 24… [+1021 chars]",2025-07-28,-0.999358735018177
"{'id': 'fox-news', 'name': 'Fox News'}","Jené Luciani Sena, Caitlyn Martyn",Shield your skin from the sun with these top sunscreens,"Sunscreen is key to protecting your skin from the sun’s harmful UV rays. Before you hit the beach, pool or ballpark this summer, check out these 10 sunscreens to keep you safe and protected.",https://www.foxnews.com/deals/best-sunscreen,https://static.foxnews.com/foxnews.com/content/uploads/2025/07/istock-1311504201.jpg,2025-07-28 13:19:36+00:00,"For any summer activity whether lounging poolside, hiking
 or playing sports sunscreen is your most important accessory. It protects against UVA and UVB rays, which contribute to sunburns, long-term… [+5348 chars]",2025-07-28,-0.9969248221023008
"{'id': None, 'name': 'Ndtvprofit.com'}",Prajwal Jayaraj,NTPC Green Energy Q1 Results: Profit Surges 59%,"NTPC Green Energy Ltd.'s net profit surged in the first quarter of fiscal 2026, according to an exchange filing on Monday.  The firm reported a bottom line of Rs 221 crore, a 59% jump from the year-ago period.",https://www.ndtvprofit.com/quarterly-earnings/ntpc-green-energy-q1-fy26-results-profit-revenue-rise,https://media.assettype.com/bloombergquint%2F2025-07-28%2F65xm8n9y%2Ftable-with-trees-windmills-and-solar-panels-model-2024-11-18-03-31-09-utc.jpg?rect=0%2C524%2C7360%2C3864&w=1200&auto=format%2Ccompress&ogImage=true,2025-07-28 13:11:03+00:00,"Shares of NTPC Green Energy closed 1.42% higher at Rs 107.28% apiece on the National Stock Exchange before the announcement, compared to a 0.63% fall in the benchmark Nifty. The stock has fallen 0.67… [+284 chars]",2025-07-28,-3.0322464539267457e-09
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Shivendra Kumar,"Waaree Energies Q1 Results: Cons PAT jumps 89% YoY to Rs 745 crore, revenue up 30%","Waaree Energies announced a significant jump in its Q1 financial results. The company's consolidated net profit soared by 89%, reaching Rs 745 crore. This is a substantial increase compared to the Rs 394 crore reported in the same period last year. Revenue fr…",https://economictimes.indiatimes.com/markets/stocks/earnings/waaree-energies-q1-results-cons-pat-jumps-89-yoy-to-rs-745-crore-revenue-rises-30/articleshow/122955014.cms,"https://img.etimg.com/thumb/msid-122954982,width-1200,height-630,imgsize-10786,overlay-etmarkets/articleshow.jpg",2025-07-28 12:56:14+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",2025-07-28,-5.954839434885173e-07
"{'id': None, 'name': 'BusinessLine'}",Anupama Ghosh,"Markets fall for third straight day; Sensex slips 572 pts, Nifty below 24,700","Sensex slumps 572 pts, Nifty dips below 24,700 as Kotak Bank plunges on Q1 miss. Realty, IT, and banking stocks drag; India VIX jumps 7%.",https://www.thehindubusinessline.com/markets/stock-markets/markets-fall-for-third-straight-day-sensex-slips-572-pts-nifty-below-24700/article69865249.ece,https://bl-i.thgim.com/public/incoming/437a3q/article69853842.ece/alternates/LANDSCAPE_1200/BL09_Market_down.jpg,2025-07-28 12:20:57+00:00,"Markets extended their losing streak for the third consecutive session on Monday, with the Sensex settling 572.07 points or 0.70 per cent lower at 80,891.02, and the Nifty 50 falling 156.10 points or… [+5279 chars]",2025-07-28,0.9946012527216226
"{'id': None, 'name': 'Android Authority'}",Aamir Siddiqui,Pixel Watch 4 leak once again points to life-saving feature (APK teardown),"Leak suggests the Pixel Watch 4 will introduce emergency satellite communications, and we've now spotted code that corroborates this.",https://www.androidauthority.com/pixel-watch-4-emergency-satellite-communications-apk-teardown-3581531/,https://www.androidauthority.com/wp-content/uploads/2025/04/pixel-watch-3-face-field.jpg,2025-07-28 12:06:38+00:00,<ul><li>Recent code findings in the Satellite Gateway app corroborate that the Pixel Watch 4 could feature emergency satellite communications.</li><li>This satellite connectivity feature appears to b… [+3501 chars],2025-07-28,-0.9947518773333286
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Sensex falls! These stocks fell 5% or more in Monday's session,"In the Nifty pack, 16 stocks closed in the green, while 34 stocks ended in the red.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/sensex-falls-these-stocks-fell-5-or-more-in-mondays-session/articleshow/122954060.cms,"https://img.etimg.com/thumb/msid-83771694,width-1200,height-630,imgsize-185726,overlay-etmarkets/articleshow.jpg",2025-07-28 12:02:42+00:00,NEW DELHI: Several stocks plunged in excess of 5 per cent in Mumbai trading on Monday even as equity benchmark BSE Sensex traded 572.07 points down at 80891.02 amid brisk selling in frontline bluechi… [+749 chars],2025-07-28,0.7263552397489548
"{'id': None, 'name': ""Tom's Hardware UK""}","stephen.warwick@futurenet.com (Stephen Warwick) , Stephen Warwick",Apple's M4 Macbook Air plunges to its lowest ever price in the ultimate back to school deal — Amazon's $799 price tag trounces Apple's official deal program,"Grab an M4 MacBook Air for just $799, or a 15-inch model for $999",https://www.tomshardware.com/laptops/macbooks/apples-m4-macbook-air-plunges-to-its-lowest-ever-price-in-the-ultimate-back-to-school-deal-amazons-usd799-price-tag-trounces-apples-official-deal-program,https://cdn.mos.cms.futurecdn.net/Mjhcgdqu9AEkYNnCWYLwZF.jpg,2025-07-28 11:53:01+00:00,"If you're in the market for the ultimate back-to-school laptop, then this Amazon MacBook Air deal might just be the best one we've seen yet. Right now, you can score Apple's latest and greatest M4 Ma… [+1768 chars]",2025-07-28,0.9999941763283005
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Nifty IT index falls 0.71%,The Nifty IT index closed 0.71 per cent  down  at 35370.05.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-falls-0-71/articleshow/122953863.cms,"https://img.etimg.com/thumb/msid-78620279,width-1200,height-630,imgsize-275381,overlay-etmarkets/articleshow.jpg",2025-07-28 11:52:21+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",2025-07-28,-0.9998840704611212
