source,author,title,description,url,urlToImage,publishedAt,content,date,sentiment_label,sentiment_score
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Nikhil Agarwal,Retail investors dump 68% of Nifty stocks chasing smallcap crorepati dreams. Is this a trap?,Indian retail investors are selling their holdings in Nifty50 companies. They are seeking higher returns in small and mid-cap stocks. This trend is driven by impatience and the desire for quick profits. Experts warn against this strategy. They cite risks like…,https://economictimes.indiatimes.com/markets/stocks/news/retail-investors-dump-68-of-nifty-stocks-chasing-smallcap-crorepati-dreams-is-this-a-trap/articleshow/123085733.cms,"https://img.etimg.com/thumb/msid-123085718,width-1200,height-630,imgsize-63230,overlay-etmarkets/articleshow.jpg",2025-08-04 03:38:40+00:00,"In a high-stakes gamble for explosive returns, a vast army of retail investors has systematically shedded its holdings in Indias most formidable bluechip companies. Driven by a potent cocktail of imp… [+8113 chars]",2025-08-04,positive,0.9296418726444244
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET CONTRIBUTORS,"Nifty Weekly Outlook: Reversal confirmed, big moves expected around August 8, says Harshubh Shah","The Indian equity market ended its fifth straight week in the red, with the Nifty50 falling over 1%. July 29 marked a crucial reversal point amid sustained FPI outflows. Technical and time-based signals aligned well, offering trading cues. August 8 and 11 are…",https://economictimes.indiatimes.com/markets/stocks/news/nifty-weekly-outlook-reversal-confirmed-big-moves-expected-around-august-8-says-harshubh-shah/articleshow/123072482.cms,"https://img.etimg.com/thumb/msid-123072489,width-1200,height-630,imgsize-80448,overlay-etmarkets/articleshow.jpg",2025-08-03 06:00:33+00:00,"The Indian equity market ended the week through August 1, 2025, on a cautious note, marking its fifth consecutive weekly loss.The Nifty50 index fell over 1% during the week, despite a midweek rebound… [+3575 chars]",2025-08-03,negative,-0.9998251738506951
"{'id': None, 'name': 'BusinessLine'}",Aarati Krishnan,"‘We bet on high-growth optionalities, but restrict our weights’: Rupesh Patel of Nippon Mutual Fund","The fund manager talks about scheme performance, the small- and mid-cap universe, equity returns in India and more",https://www.thehindubusinessline.com/portfolio/personal-finance/we-bet-on-high-growth-optionalities-but-restrict-our-weights-rupesh-patel-of-nippon-mutual-fund/article69882855.ece,https://bl-i.thgim.com/public/incoming/wrhvqz/article69882918.ece/alternates/LANDSCAPE_1200/Rupesh%20Patel.jpg,2025-08-02 12:34:59+00:00,Nippon India has minted quite a few wealthy retail investors with the Nippon India Growth Fund achieving  a 22 per cent CAGR (Compounded Annual Growth Rate) over its nearly  30-year history. We spoke… [+8533 chars],2025-08-02,negative,-0.9981228922843002
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,"Sensex falls over 250 pts, Nifty below 24,750 as Trump tariffs keep investors on edge","Indian benchmark indices Sensex and Nifty50 opened lower on Friday following the U.S. imposition of steep tariffs on several trading partners, including reaffirming a 25% duty on imports from India. Investors viewed the tariff announcement as a pressure tacti…",https://economictimes.indiatimes.com/markets/stocks/news/sensex-falls-over-250-pts-nifty-below-24750-as-trump-tariffs-keep-investors-on-edge/articleshow/123034194.cms,"https://img.etimg.com/thumb/msid-123034297,width-1200,height-630,imgsize-86810,overlay-etmarkets/articleshow.jpg",2025-08-01 03:59:03+00:00,"Indian benchmark indices Sensex and Nifty50 opened lower on Friday as the U.S. imposed steep tariffs on several trading partners and reaffirmed a 25% duty on imports from India.At around 9:20 am, the… [+2626 chars]",2025-08-01,neutral,0.4490545801818371
"{'id': None, 'name': 'BusinessLine'}",BL Research Bureau,"Day Trading Guide for August 1, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-august-01/article69878525.ece,https://bl-i.thgim.com/public/incoming/r2n0nd/article69652544.ece/alternates/LANDSCAPE_1200/IMG_PO12_Buy_or_Sell_2_1_FODE0G6B.jpg,2025-08-01 00:46:00+00:00,"Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2390 chars]",2025-08-01,negative,-0.9999937599980058
"{'id': None, 'name': 'Economictimes.com'}",ET Spotlight Special,"Breakout Stocks: How to trade Schneider Electric, GE Vernova & Navin Fluorine that hit 52-week high?","Indian markets recovered partially on Thursday but closed lower, with the Sensex down nearly 300 points and Nifty50 below 24,800. FMCG stocks gained while healthcare, metals, oil & gas, and telecom saw selling. Schneider Electric hit a 52-week high.",https://m.economictimes.com/markets/stocks/news/breakout-stocks-how-to-trade-schneider-electric-ge-vernova-amp-navin-fluorine-that-hit-52-week-high/market-summary/slideshow/123020771.cms,"https://img.etimg.com/thumb/msid-123020771,width-1070,height-580,overlay-etmarkets/slideshow.jpg",2025-07-31 12:06:53+00:00,"Schneider Electric has broken out of its previous swing high and entered all-time high levels. The upside resistance is now at 1,061, with support at 860.
(Disclaimer: Recommendations, suggestions, … [+106 chars]",2025-07-31,negative,-0.9999728314251115
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,D-Street investors lose over Rs 5 lakh crore in 15 mins as Sensex tumbles 600 pts on Trump’s tariff move,"Indian benchmark indices experienced a sharp decline on Thursday morning following President Trump's threat to impose a 25% tariff on Indian goods starting August 1, coupled with an unspecified penalty. The BSE Sensex fell by 0.74% and the Nifty50 dropped by …",https://economictimes.indiatimes.com/markets/stocks/news/d-street-investors-lose-over-rs-5-lakh-crore-in-15-mins-as-sensex-tumbles-600-pts-on-trumps-tariff-move/articleshow/123010479.cms,"https://img.etimg.com/thumb/msid-123010508,width-1200,height-630,imgsize-113268,overlay-etmarkets/articleshow.jpg",2025-07-31 04:04:08+00:00,"Indian benchmark indices opened sharply lower on Thursday after U.S. President Donald Trump threatened to impose a 25% tariff on goods imported from India starting August 1, along with an unspecified… [+1125 chars]",2025-07-31,positive,0.978675976395607
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Kshitij Anand,ETMarkets Smart Talk| 15 sectors to watch: From EMS to aerospace engineering - Sunny Agrawal maps the opportunity landscape,"Amidst volatile markets and global trade uncertainties, smart money is shifting beyond benchmark indices, focusing on high-potential sectors like EMS, auto ancillaries, and aerospace engineering. Despite tepid earnings expectations in some sectors, areas like…",https://economictimes.indiatimes.com/markets/expert-view/etmarkets-smart-talk-15-sectors-to-watch-from-ems-to-aerospace-engineering-sunny-agrawal-maps-the-opportunity-landscape/articleshow/122991269.cms,"https://img.etimg.com/thumb/msid-122991255,width-1200,height-630,imgsize-19932,overlay-etmarkets/articleshow.jpg",2025-07-31 03:30:00+00:00,"In this edition of ETMarkets Smart Talk, Sunny Agrawal, Head of Fundamental Research at SBI Securities, shares his insights on navigating the current volatile market landscape.As global trade uncerta… [+7478 chars]",2025-07-31,negative,-0.9999634500290995
"{'id': None, 'name': 'BusinessLine'}",BL Research Bureau,"Day Trading Guide for 31 July, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-july-31/article69873670.ece,https://bl-i.thgim.com/public/incoming/84khnm/article69711880.ece/alternates/LANDSCAPE_1200/PO16_Buy_sell_dice.jpg,2025-07-31 00:30:00+00:00,"Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2337 chars]",2025-07-31,negative,-0.9999958470389174
"{'id': None, 'name': 'Economictimes.com'}",TIL Creatives,"Breakout Stocks: How to trade Hitachi Energy, Sumitomo Chemical & GE Vernova that hit fresh 52-week high?","​Indian market closed in the green for the second consecutive day in a row on Wednesday. The BSE Sensex rose more than 100 points while the Nifty50 closed above 24800 levels. Sectorally, buying was seen in FMCG, capital goods, consumer durable and IT stocks w…",https://m.economictimes.com/markets/stocks/news/breakout-stocks-how-to-trade-hitachi-energy-sumitomo-chemical-amp-ge-vernova-that-hit-fresh-52-week-high/market-summary/slideshow/122997239.cms,"https://img.etimg.com/thumb/msid-122997239,width-1070,height-580,overlay-etmarkets/slideshow.jpg",2025-07-30 11:12:04+00:00,"Hitachi Energy has delivered a clean breakout above the Rs 20,200 level with volume support.
If the breakout sustains, the stock may continue its upward journey. However, failure to hold above Rs 20… [+135 chars]",2025-07-30,negative,-0.9998906068976794
