source,author,title,description,url,urlToImage,publishedAt,content,date,sentiment_score
"{'id': None, 'name': 'Ndtvprofit.com'}",Ann Jacob,Tata Motors Shares Slip After Reports Of $4.5 Billion Iveco Deal Float,"Shares of Tata Motors slipped over 3% after reports of a deal with Italian truck maker Iveco. Expected to be announced soon, according to an ET report, Tata Motors is reportedly close to acquiring Italian truck maker Iveco from the Agnelli family for $4.5 bil…",https://www.ndtvprofit.com/markets/tata-motors-shares-slip-after-reports-of-45-billion-iveco-deal-float,https://media.assettype.com/bloombergquint%2F2024-08-29%2Fezl2ax4n%2FTata%20Motors%20Prawaas.jpg?rect=0%2C41%2C1106%2C581&w=1200&auto=format%2Ccompress&ogImage=true,2025-07-30 04:22:28+00:00,"Tata Motors stock fell as much as 3.80% during the day to Rs 666.05 apiece on the NSE. It was trading 2.96% lower at Rs 671.85 apiece, compared to an 0.04% advance in the benchmark Nifty 50 as of 9:3… [+471 chars]",2025-07-30,-0.9981537840212695
"{'id': None, 'name': 'Ndtvprofit.com'}",NDTV Profit News,"Vedanta Q1 Results: Date, Share Price History, Earnings Call Schedule And More","Diversified natural resources company Vedanta Ltd. is set to announce the results for the first quarter of FY26 this week. The company’s business spans sectors such as oil and gas, steel, copper and glass. It is the largest producer of zinc, lead and silver i…",https://www.ndtvprofit.com/quarterly-earnings/vedanta-q1-results-date-share-price-history-earnings-call-schedule-and-more,https://media.assettype.com/bloombergquint%2F2025-07-30%2Fc5bhp7n9%2FVedanta-namesign-and-logo-Giri-120519.jpeg.jpg?w=1200&auto=format%2Ccompress&ogImage=true,2025-07-30 04:15:42+00:00,"Shares of Vedanta have declined 4.17% in the past five trading sessions on the NSE. In the last one month, the mining stock has declined 5.29%. However, in the past six months, shares of the company … [+400 chars]",2025-07-30,-0.9999937715302849
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,"Sensex opens flat, Nifty tops 24,800 amid US trade deal uncertainty","Indian stock markets began Wednesday with positive momentum, fueled by robust earnings from Larsen & Toubro, boosting investor confidence. However, the upward movement was limited as investors exercised caution in anticipation of the U.S. Federal Reserve's up…",https://economictimes.indiatimes.com/markets/stocks/news/sensex-opens-flat-nifty-tops-24800-amid-us-trade-deal-uncertainty/articleshow/122988159.cms,"https://img.etimg.com/thumb/msid-122988118,width-1200,height-630,imgsize-16174,overlay-etmarkets/articleshow.jpg",2025-07-30 04:02:28+00:00,"Indian equity benchmarks opened flat on Wednesday, supported by strong earnings from infrastructure major Larsen &amp; Toubro, which lifted market sentiment. However, gains remained limited amid caut… [+1448 chars]",2025-07-30,-0.4041445553302765
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Riya Sharma,Mazagon Dock to Cochin Shipyard: Defence stocks tumble up to 18% in 1 month. Buy the dip or stay cautious?,"After a strong run fueled by robust orders and Operation Sindoor, Indian defence stocks are facing turbulence. Shares of companies like Mazagon Dock and Cochin Shipyard have declined significantly, dragging down the Nifty India Defence index. This downturn is…",https://economictimes.indiatimes.com/markets/stocks/news/mazagon-dock-to-cochin-shipyard-defence-stocks-tumble-up-to-18-in-1-month-buy-the-dip-or-stay-cautious/articleshow/122988153.cms,"https://img.etimg.com/thumb/msid-122988135,width-1200,height-630,imgsize-81274,overlay-etmarkets/articleshow.jpg",2025-07-30 03:54:06+00:00,"After powering Indias markets for much of 2025 on the back of robust order flows and the high-profile success of Operation Sindoor, defence stocks are now hitting turbulence. From Mazagon Dock to Coc… [+5523 chars]",2025-07-30,0.9963157952297479
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Nikhil Agarwal,Not just TCS: Q1 results destroy midcap IT's last standing heroes,"Midcap IT companies are facing a downturn, mirroring the struggles of their largecap counterparts. Q1 earnings revealed topline misses and cash flow issues, exacerbated by cautious client spending and project delays. While some analysts remain optimistic, con…",https://economictimes.indiatimes.com/markets/stocks/news/not-just-tcs-q1-results-destroy-midcap-its-last-standing-heroes/articleshow/122987705.cms,"https://img.etimg.com/thumb/msid-122987758,width-1200,height-630,imgsize-2159765,overlay-etmarkets/articleshow.jpg",2025-07-30 03:30:29+00:00,"The darling status of India's midcap IT companies is evaporating faster than their stock prices, as investors who fled largecap IT bellwethers for supposedly safer harbors discover there's nowhere to… [+5372 chars]",2025-07-30,0.0056882333010435104
"{'id': 'financial-post', 'name': 'Financial Post'}",Bloomberg News,Indian Market Braces for Bumpy Ride After Trump’s 20-25% Tariff Threat,Before the trading day starts we bring you a digest of the key news and events that are likely to move markets. Today we look at:,https://financialpost.com/pmn/business-pmn/indian-market-braces-for-bumpy-ride-after-trumps-20-25-tariff-threat,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2025/07/indias-stock-valuation-is-reverting-to-mean.jpg,2025-07-30 03:23:19+00:00,"(Bloomberg) Before the trading day starts we bring you a digest of the key news and events that are likely to move markets. Today we look at:
THIS CONTENT IS RESERVED FOR SUBSCRIBERS ONLY
Subscribe… [+5610 chars]",2025-07-30,0.9206852056086063
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Now,"Cover short positions, a break above 24,890 needed to confirm bullish reversal: Vinay Rajani","Vinay Rajani of HDFC Securities suggests covering short positions in Nifty as it reaches a crucial support zone between 24,500-24,600, indicating an oversold condition. While the overall trend remains weak, a break above 24,890 could signal a bullish reversal…",https://economictimes.indiatimes.com/markets/expert-view/cover-short-positions-a-break-above-24890-needed-to-confirm-bullish-reversal-vinay-rajani/articleshow/122974316.cms,"https://img.etimg.com/thumb/msid-122974372,width-1200,height-630,imgsize-20426,overlay-etmarkets/articleshow.jpg",2025-07-30 02:41:00+00:00,"Vinay Rajani, AVP, Senior Technical &amp; Derivative Analyst, HDFC Securities, says following a significant 1,000-point decline, the index has now arrived at a support zone, with derivative data indi… [+5514 chars]",2025-07-30,-0.9189871838316321
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Bloomberg,SBI leads $9.2 billion wave of Indian fast-tracked share sales,"Indian companies are leveraging the stock market rally to raise funds through qualified institutional placements (QIPs). Led by State Bank of India's record offering, around 40 firms plan to raise over $9.2 billion via QIPs in July. This fast-track method all…",https://economictimes.indiatimes.com/markets/stocks/news/sbi-leads-9-2-billion-wave-of-indian-fast-tracked-share-sales/articleshow/122986968.cms,"https://img.etimg.com/thumb/msid-122986970,width-1200,height-630,imgsize-14242,overlay-etmarkets/articleshow.jpg",2025-07-30 02:30:14+00:00,State Bank of Indias recent record offering is leading a summer onslaught of a fast-tracked type of share sale as local companies take advantage of this years stock-market rally to raise funds.About … [+2885 chars],2025-07-30,-0.02779228812346446
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Akash Podishetti,M&B Engineering IPO opens with GMP at 11%. Should you subscribe?,M&B Engineering launches its IPO today to raise Rs 650 crore. The IPO price is Rs 366-385 per share. The company will use the funds for capex and loan repayment. M&B is a major player in PEB and steel roofing. The company's clients include Adani Group and Tat…,https://economictimes.indiatimes.com/markets/ipos/fpos/mb-engineering-ipo-opens-with-gmp-at-11-should-you-subscribe/articleshow/122986972.cms,"https://img.etimg.com/thumb/msid-122986965,width-1200,height-630,imgsize-4870,overlay-etmarkets/articleshow.jpg",2025-07-30 02:28:53+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",2025-07-30,-0.9999707458682678
"{'id': None, 'name': 'Economictimes.com'}",Economic Times,Sensex Today | Stock Market LIVE Updates: GIFT Nifty signals a muted start; Asian shares trade mixed,"Sensex Today | Stock Market LIVE Updates: Indian markets snapped a three-day losing streak on Tuesday, rebounding on the back of value buying in Reliance Industries and HDFC Bank. While overall sentiment stayed cautious amid continued FPI outflows and uncerta…",https://m.economictimes.com/markets/stocks/live-blog/bse-sensex-today-live-nifty-stock-market-updates-30-july-2025/liveblog/122986610.cms,"https://economictimes.indiatimes.com/thumb/msid-122986610,width-600,resizemode-4,imglength-1952732/markets/stocks/live-blog/bse-sensex-today-live-nifty-stock-market-updates-30-july-2025.jpg",2025-07-30 01:49:20+00:00,"Sensex Today | Stock Market LIVE Updates: Indian markets snapped a three-day losing streak on Tuesday, rebounding on the back of value buying in Reliance Industries and HDFC Bank. While overall senti… [+165 chars]",2025-07-30,0.5288372337818146
"{'id': None, 'name': 'Ndtvprofit.com'}",Vrathik Jain,All You Need To Know Going Into Trade On Wednesday,"The NSE Nifty 50 settled 140 points or 0.57% higher at 24,821.1, managing to break the 24,800 resistance level. The BSE Sensex added 447 points or 0.55% to close at 81,337.95. Foreign portfolio investors stayed net sellers of Indian shares for the seventh con…",https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-july-30-2025,https://media.assettype.com/bloombergquint%2F2022-11%2Fd15150f4-0fe9-4e8a-9272-dac5357aaf8b%2Fjoshua_mayo_HASoyURgPMY_unsplash.jpg?rect=0%2C0%2C6000%2C3150&w=1200&auto=format%2Ccompress&ogImage=true,2025-07-30 01:25:11+00:00,"Jagran Prakashan Q1FY26 Highlights (Consolidated, YoY)
<ul><li>Revenue up 3.6% to Rs 460 crore versus Rs 444 crore.
</li><li>Ebitda down 2.6% to Rs 63.7 crore versus Rs 65.4 crore.
</li><li>Margin… [+7437 chars]",2025-07-30,-0.9999872062971917
"{'id': None, 'name': 'BusinessLine'}","Team BL, KS Badri Narayanan",Stock Market Live Update 30 July 2025: Stock to buy today: Swiggy (₹413.55) – BUY,"Stock Market Today | Share Market Live Updates - Find here all the live updates related to Sensex, Nifty, BSE, NSE, share prices and Indian stock markets for  30 July 2025",https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-30-july-2025/article69868944.ece,https://bl-i.thgim.com/public/incoming/vnkk70/article69868951.ece/alternates/LANDSCAPE_1200/stock%20market%204.jpg,2025-07-30 01:14:00+00:00,"Stock Market today | Share Market Live Updates - Find here all the live updates related to Sensex, Nifty, BSE, NSE, share prices and Indian stock markets for 30 July 2025 
<ul><li></li>
06:53 | Jul… [+1440 chars]",2025-07-30,-8.673424781591166e-05
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Pre-market action: Here's the trade setup for today's session,Indian stock markets recovered on Tuesday after three days of losses. Analysts anticipate selective buying based on quarterly results. Broader market sentiment will depend on macroeconomic data and the India-US trade deal progress. Stock-specific actions are …,https://economictimes.indiatimes.com/markets/stocks/news/pre-market-action-heres-the-trade-setup-for-todays-session/articleshow/122986159.cms,"https://img.etimg.com/thumb/msid-122986143,width-1200,height-630,imgsize-88221,overlay-etmarkets/articleshow.jpg",2025-07-30 01:09:46+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",2025-07-30,-0.9999602989337291
"{'id': None, 'name': 'BusinessLine'}",BL Research Bureau,"Day Trading Guide for 30 July, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-july-30/article69869204.ece,https://bl-i.thgim.com/public/incoming/9dyc05/article66812369.ece/alternates/LANDSCAPE_1200/buy-hold-sell.jpg,2025-07-30 00:56:00+00:00,"Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2333 chars]",2025-07-30,-0.9999958394146233
