source,author,title,description,url,urlToImage,publishedAt,content,date,sentiment_score
"{'id': None, 'name': 'Hackaday'}",Lewin Day,Shadow Clock Shows The Time On The Wall,"What if you build a clock that displayed the time not just on its own, but in its shadows as well? [Lewis] from [DIY Machines] has done just that, with a nifty 3D-printed shadow clock build. The cl…",https://hackaday.com/2025/07/05/shadow-clock-shows-the-time-on-the-wall/,https://hackaday.com/wp-content/uploads/2025/06/How-I-made-this-amazing-PROJECTING-HOLLOW-CLOCK-DIY-Project-Guide-0-15-screenshot.png,2025-07-06 02:00:00+00:00,"What if you build a clock that displayed the time not just on its own, but in its shadows as well? [Lewis] from [DIY Machines] has done just that, with a nifty 3D-printed shadow clock build.
The clo… [+1287 chars]",2025-07-06,-0.9999989970402794
"{'id': None, 'name': 'Gizmodo.com'}",Ed Cara,Need a Testosterone Boost? Maybe Try Some Ozempic,New research finds that men taking a GLP-1 for their obesity or type 2 diabetes often experience a rise in testosterone levels.,https://gizmodo.com/need-a-testosterone-boost-maybe-try-some-ozempic-2000628911,https://gizmodo.com/app/uploads/2025/07/ozempic-prep-1200x675.jpg,2025-07-14 19:00:00+00:00,"Is there anything that Ozempic and drugs like it can’t do? A study out today finds that GLP-1 medications often raise men’s testosterone.
Scientists in St. Louis, Missouri, led the research, which s… [+3157 chars]",2025-07-14,-0.9991557899629697
"{'id': 'the-verge', 'name': 'The Verge'}",Antonio G. Di Benedetto,Our biggest questions about ChromeOS and Android merging,"Samit Sarkar, Google's head of Android ecosystems, recently confirmed that Android and ChromeOS will be merged into a single platform, reigniting a slew of questions about the future of the operating systems. Combining them makes sense. It made sense way back…",https://www.theverge.com/google/707041/google-chromeos-android-os-merger-questions-phones-chromebooks-laptops-tablets,https://platform.theverge.com/wp-content/uploads/sites/2/2025/07/257814_Lenovo_Chromebook_Plus_14_laptop_review_ADiBenedetto_0020.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-07-15 17:43:48+00:00,"Weve had over a decade of will they, wont they. But what happens if it finally happens?
Samit Sarkar, Googles head of Android ecosystems, recently confirmed that Android and ChromeOS will be merged … [+5580 chars]",2025-07-15,0.9814958665519953
"{'id': None, 'name': 'Android Central'}","harish.jonnalagadda@futurenet.com (Harish Jonnalagadda) , Harish Jonnalagadda",Satechi's FindAll trackers ensure you never lose anything again,Satechi has a new travel-focused FindAll collection that ensures your valuables are trackable on the Find My network.,https://www.androidcentral.com/accessories/satechi-findall-trackers-ensure-you-never-lose-anything-again,https://cdn.mos.cms.futurecdn.net/Jj2X6sKMdicwGUWAaYNcxY.jpg,2025-07-10 07:10:33+00:00,"Satechi makes some of the best charging and everyday use accessories, and it recently started focusing on travel accessories. The OntheGo collection sees Qi 2 charging pads, and Satechi is following … [+1856 chars]",2025-07-10,-0.16076979041099548
"{'id': 'espn', 'name': 'ESPN'}",Sam Marsden,Barcelona unveil 2025-26 home kit for return to Camp Nou,Lamine Yamal and Barcelona will be wearing the club's classic stripes but with a modern twist when they go home to Camp Nou after two years at Montjuïc.,https://www.espn.com/soccer/story/_/id/45640991/barcelona-unveil-2025-26-home-kit-return-camp-nou,https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0702%2Fr1513891_1232x693_16%2D9.png,2025-07-02 11:20:07+00:00,"Lamine Yamal and Barcelona will be wearing the club's classic stripes but with a modern twist when they go home to Camp Nou after two years at Montjuïc. FC Barcelona
Barcelona have revealed their fr… [+1221 chars]",2025-07-02,-0.9978862676071003
"{'id': None, 'name': 'Android Authority'}",Hadlee Simons,Gmail now makes setting up an appointment much easier for everyone,Google has announced that Gmail's nifty new appointment scheduling feature is now available for all users.,https://www.androidauthority.com/gmail-appointment-scheduling-release-3577894/,https://www.androidauthority.com/wp-content/uploads/2021/12/Gmail-on-smartphone-and-tablet-stock-photo-7.jpg,2025-07-16 06:32:37+00:00,<ul><li>Google now lets all users share a Google Calendar appointment booking page in Gmail.</li><li>This allows you to easily propose appointment slots with others via email.</li><li>This general re… [+1550 chars],2025-07-16,-0.00896770495455712
"{'id': None, 'name': 'Android Central'}","techkritiko@gmail.com (Jay Bonggolto) , Jay Bonggolto",One UI 8 beta makes ditching background noise from your audio and video way easier,Samsung’s AI Audio Eraser is now quicker and plays nice with more apps in One UI 8.,https://www.androidcentral.com/phones/samsung-galaxy/one-ui-8-beta-makes-ditching-background-noise-from-your-audio-and-video-way-easier,https://cdn.mos.cms.futurecdn.net/eureNKD9Ghykt2KMRKoMjn.jpg,2025-07-06 13:44:34+00:00,"What you need to know
<ul><li>One UI 8 beta is supposedly testing a new Audio Eraser that zaps background noise live as you watch.</li><li>Instead of digging through menus, just tap the Audio Eraser… [+2527 chars]",2025-07-06,-0.8142579412087798
"{'id': None, 'name': 'Android Central'}","harish.jonnalagadda@futurenet.com (Harish Jonnalagadda) , Harish Jonnalagadda",These external SSDs are delightfully different — and they're on sale,Aiffro's P10 Plus and P30 deserve your attention.,https://www.androidcentral.com/accessories/storage/aiffro-external-ssd-delightfully-different,https://cdn.mos.cms.futurecdn.net/bsnZZ4dsQx83a5DfUshth7.jpg,2025-07-07 05:08:53+00:00,"There's no shortage of options if you want an external SSD, and a new entrant called Aiffro is looking to break its way into this category. The P10 Plus and P30 have interesting features, but they're… [+2578 chars]",2025-07-07,-0.9996290432027308
"{'id': None, 'name': 'Android Central'}","namerah.saud-fatmi@futurenet.com (Namerah Saud Fatmi) , Namerah Saud Fatmi",The OnePlus 13R offers better value than most other Android phones — here's why it belongs on your Prime Day wish list,"Amidst the cutthroat competition in the Android phone world, the OnePlus 13R stands out as the valiant champion of those on a budget.",https://www.androidcentral.com/phones/oneplus/i-dont-believe-any-phone-delivers-better-value-than-the-oneplus-13r,https://cdn.mos.cms.futurecdn.net/qEK3Wim66oAJaiGzVToLXo.jpg,2025-07-01 14:00:00+00:00,"If you're looking to buy a new phone but don't want to spend more than $500 to $600, the OnePlus 13R is the best phone that money can buy. In fact, I am confident that there isn't a better value deal… [+3332 chars]",2025-07-01,-1.6293216376084274e-07
"{'id': None, 'name': 'Android Central'}","shruti.shekar@futurenet.com (Shruti Shekar) , Shruti Shekar",Prime Day 4: The FINAL day for snagging these top staff pick deals as low as $6,"Amazon's biggest sale of the year is almost over, and we're rounding up our favourite deals of the day for your convenience!",https://www.androidcentral.com/phones/prime-day-4-the-final-day-for-snagging-these-top-staff-pick-deals,https://cdn.mos.cms.futurecdn.net/YHeJQ6YZag3cErWo4pCjFY.jpeg,2025-07-11 19:47:03+00:00,"It's the final day of Prime Day 2025, which ran from July 8-11. The deals are still live, though, and this will be your last chance to snag what you want for less money.
But we know how overwhelming… [+3378 chars]",2025-07-11,-0.9997953661877546
