Date,Close,High,Low,Open,Volume,Daily Return,SMA_7,SMA_21,Volatility
Ticker,,^NSEI,^NSEI,^NSEI,^NSEI,,,,
Date,,^NSEI,^NSEI,^NSEI,^NSEI,,,,
2025-07-01,25541.80078125,25593.400390625,25501.80078125,25551.349609375,260700,,,,
2025-07-02,25453.400390625,25608.099609375,25378.75,25588.30078125,309800,-0.0034610085397696055,,,
2025-07-03,25405.30078125,25587.5,25384.349609375,25505.099609375,293400,-0.00188971251922454,,,
2025-07-04,25461.0,25470.25,25331.650390625,25428.849609375,193500,0.0021924250859925998,,,
2025-07-07,25461.30078125,25489.80078125,25407.25,25450.44921875,196100,1.1813410706551508e-05,,,
2025-07-08,25522.5,25548.05078125,25424.150390625,25427.849609375,210400,0.0024036171315751087,,,
2025-07-09,25476.099609375,25548.69921875,25424.349609375,25514.599609375,239100,-0.00181801902732881,25474.48604910714,,45.5085107637744
2025-07-10,25355.25,25524.05078125,25340.44921875,25511.650390625,219600,-0.004743646446198069,25447.8359375,,53.44858965105829
2025-07-11,25149.849609375,25322.44921875,25129.0,25255.5,250000,-0.008100901810276007,25404.471540178572,,124.32625248354093
2025-07-14,25082.30078125,25151.099609375,25001.94921875,25149.5,259500,-0.002685854157148504,25358.328683035714,,173.98815560755787
2025-07-15,25195.80078125,25245.19921875,25088.44921875,25089.5,241300,0.004525103218794291,25320.44308035714,,176.75687494869564
