title,publishedAt,date,sentiment
"Market Trading Guide: M&M, PNB and Titagarh Rail among 8 stocks to buy on Thursday. Up to 15% upside seen in near term",2025-07-16 14:55:23+00:00,2025-07-16,-2.6056679702790575e-08
"Reliance Power board approves Rs 6,000 crore fundraising plan via QIP",2025-07-16 14:27:14+00:00,2025-07-16,-0.9999063871255203
"Nifty Crucial Support At 24,900–25,100",2025-07-16 13:57:08+00:00,2025-07-16,-0.9998891055474814
"SBI launches Rs 25,000 crore QIP, floor price at Rs 811.05 per share",2025-07-16 12:27:42+00:00,2025-07-16,-0.9999984259968642
Sensex rises! But these stocks fell 5% or more in Wednesday's session,2025-07-16 12:03:03+00:00,2025-07-16,0.9304577969014645
NotebookLM Opens Up to a Wider World. Meet Its New Curated Collection of Expert Insights,2025-07-16 12:00:13+00:00,2025-07-16,-0.30556254367820657
Donkey Kong Bananza,2025-07-16 12:00:00+00:00,2025-07-16,-0.9959655932616442
Donkey Kong Bananza,2025-07-16 12:00:00+00:00,2025-07-16,-0.9959655932616442
HP OmniBook X Flip 14 review: Speedy and spicy,2025-07-16 12:00:00+00:00,2025-07-16,-0.9999723972568972
Stock market update: Nifty IT index advances 0.63%,2025-07-16 11:57:41+00:00,2025-07-16,-0.9998104474216234
"SBI board approves up to Rs 20,000 crore bond issue under Basel III norms",2025-07-16 11:57:20+00:00,2025-07-16,-0.9999893319018156
Stock market update: Nifty Pharma index falls 0.32%,2025-07-16 11:52:33+00:00,2025-07-16,-0.9984002969576977
Stock market update: Nifty Bank index advances 0.28%,2025-07-16 11:46:38+00:00,2025-07-16,-0.9999453690325026
"SBI, UCO Bank and other PSU lenders rally up to 3% on report of govt weighing fresh reform push",2025-07-16 11:39:14+00:00,2025-07-16,-0.009325241728220135
Stock market update: Fertilisers stocks up as market rises,2025-07-16 11:36:26+00:00,2025-07-16,-0.05510258757203701
Sensex rises! These stocks rallied over 15% on BSE in today's trade,2025-07-16 11:31:04+00:00,2025-07-16,-0.9887131969444454
ITC Hotels shares rally up to 7% after Q1 PAT jumps 54% YoY to Rs 133 crore,2025-07-16 11:29:18+00:00,2025-07-16,-1.3732714343461794e-07
"OnePlus added a proprietary watch charger to its phone charging cable, because why not",2025-07-16 11:24:55+00:00,2025-07-16,-0.996213064994663
Stock market update: Nifty Realty index advances 0.5%,2025-07-16 11:20:41+00:00,2025-07-16,-0.9993928718031384
"Sensex, Nifty 50 flat as earnings season, global cues keep traders on edge; PSU Banks outperform",2025-07-16 11:20:33+00:00,2025-07-16,-5.696176472724801e-07
"Gainers & Losers: Ola Electric, Network18 among 6 stocks that moved today’s market",2025-07-16 11:20:15+00:00,2025-07-16,-0.9999690272088628
Share market update: Most active stocks in today's market in terms of volume,2025-07-16 11:10:15+00:00,2025-07-16,-0.999990987816318
Stock market update: Stocks that hit 52-week lows on NSE in today's trade,2025-07-16 11:04:57+00:00,2025-07-16,-0.9999595941972075
Stock market update: Sugar stocks down as market rises,2025-07-16 10:59:48+00:00,2025-07-16,0.9470499511808157
"Tech Mahindra Q1 Results: Cons PAT surges 34% YoY to Rs 1,141 crore, misses Street estimates",2025-07-16 10:51:46+00:00,2025-07-16,0.9999950744168622
Rupee falls 18 paise to close at 85.94 against US dollar,2025-07-16 10:47:25+00:00,2025-07-16,-0.9999787260167068
Stock market update: FMCG stocks up as market rises,2025-07-16 10:41:42+00:00,2025-07-16,-0.0055447339232728154
"Stock markets edge up amid weak global market trends, tariff-related uncertainty",2025-07-16 10:39:39+00:00,2025-07-16,0.9784533895544882
Stock market update: Stocks that hit 52-week highs on NSE in today's trade,2025-07-16 10:36:36+00:00,2025-07-16,-0.9999465809651156
"Nifty, Sensex End Flat Amid Asia-Wide Decline",2025-07-16 10:34:47+00:00,2025-07-16,0.09178170561790466
Share market update: Most active stocks of the day in terms of traded value,2025-07-16 10:30:09+00:00,2025-07-16,-0.9999932138850909
"Rupee falls as US inflation jitters dent Fed rate cut bets, hoist dollar",2025-07-16 10:20:57+00:00,2025-07-16,0.4614388644695282
"Nifty Top Gainers, Losers On July 16: M&M, Wipro To Shriram Finance, Eternal",2025-07-16 10:19:57+00:00,2025-07-16,-0.2030312418937683
Arctic Fox facts: 8 fascinating things to know,2025-07-16 10:16:53+00:00,2025-07-16,-0.9982208432047628
