source,author,title,description,url,urlToImage,publishedAt,content,date,sentiment_label,sentiment_score
"{'id': None, 'name': 'BusinessLine'}",Anupama Ghosh,"Tariff jitters trigger market selloff; Nifty slips below 24,750","Indian markets plunged as US penalty tariffs on Indian goods loom. Sensex lost 849 pts, Nifty closed below 24,750, rupee weakened to 87.75.",https://www.thehindubusinessline.com/markets/stock-markets/tariff-jitters-trigger-market-selloff-nifty-slips-below-24750/article69979181.ece,https://bl-i.thgim.com/public/incoming/5wgqzc/article69978342.ece/alternates/LANDSCAPE_1200/PO19_Market_crash.jpg,2025-08-26 12:32:52+00:00,"Markets witnessed a sharp selloff on Tuesday, with benchmark indices closing significantly lower as the US prepared to impose steep tariffs on Indian goods effective Wednesday. The BSE Sensex plummet… [+4244 chars]",2025-08-26,negative,-0.39590930938720703
"{'id': None, 'name': 'BusinessLine'}","Team BL, KS Badri Narayanan","Share Market Highlights: US tariffs on Indian goods drag markets; Sensex, Nifty fall over 1%","Sensex, Nifty updates on 26 Aug 2025: Indian equity markets closed sharply lower on Tuesday as global headwinds and fresh US trade measures rattled sentiment. The BSE Sensex fell 849 points, or 1.04%, to 80,786, while the NSE Nifty50 lost 256 points, or 1.02%…",https://www.thehindubusinessline.com/markets/stock-market-highlights-26-aug-2025/article69975262.ece,https://bl-i.thgim.com/public/incoming/6fu9ux/article69954679.ece/alternates/LANDSCAPE_1200/PO09_Stockmarket_data.jpg,2025-08-26 01:31:46+00:00,"<li></li>
August 26, 2025 16:36Stock market live today: Aluminium extrusion sector seeks Govt support amid US tariffs, cheap imports
US Tariff Challenges: Aluminium extrusion sector seek policy sup… [+74836 chars]",2025-08-26,negative,-0.880134642124176
"{'id': None, 'name': 'BusinessLine'}",BL Research Bureau,"Day Trading Guide for August 26, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-august-26/article69975158.ece,https://bl-i.thgim.com/public/incoming/u10keh/article69266039.ece/alternates/LANDSCAPE_1200/CCI_UDHindu_KSL_U8R45AOOD_R1528725515_5_ac09a597-d8df-4552-b78b-d9fa74b25d48.jpg,2025-08-26 00:44:00+00:00,"Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2333 chars]",2025-08-26,negative,-0.9999939465133139
"{'id': None, 'name': 'BusinessLine'}",,Editorial. Index pulse,Indices linked to derivatives must be broad-based,https://www.thehindubusinessline.com/opinion/editorial/index-pulse/article69970844.ece,https://bl-i.thgim.com/public/incoming/gt9k6u/article69976197.ece/alternates/LANDSCAPE_1200/2025-08-01T103921Z_373863507_RC2LJDA1T3L2_RTRMADP_3_SEBI-REIT-INVESTORS.JPG,2025-08-25 15:55:04+00:00,"The Jane Street saga, where the US-based quantitative trading firm was found manipulating index options through positions in the underlying stocks, has revealed several gaps in the domestic stock mar… [+2836 chars]",2025-08-25,negative,-0.9988118869950995
"{'id': None, 'name': 'Abplive.com'}",Sakshi Arora,"Markets End Trading In Green, Sensex Soars Over 300 Points, Nifty Under 25K",Markets began the day robustly and attempted a recovery rally throughout the session after the indices snapped a 6-day winning streak in the last trading session on Friday.,https://news.abplive.com/business/stock-market-closing-sensex-nifty-us-fed-rate-cut-secondary-tariffs-deadline-1796516,https://feeds.abplive.com/onecms/images/uploaded-images/2025/08/25/f5439e1f1f9b17546fc59b4cbdd2d0d31756115431293800_original.jpeg?impolicy=abp_cdn&imwidth=1200,2025-08-25 10:05:02+00:00,"The Indian markets ended the first session of the week on a positive note. The BSE Sensex settled the session at 81,636, surging over 300 points, while the NSE Nifty50 closed trading under 25k at 24,… [+2522 chars]",2025-08-25,negative,-0.9999967600427908
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,"IndusInd Bank in focus as CRISIL reaffirms AA+ rating, stock exits Nifty50","IndusInd Bank shares will be in focus after two key developments. CRISIL reaffirmed its long-term ratings at AA+/Negative on the lender’s debt instruments, covering Rs 55 billion worth of bonds, while retaining short-term ratings at A1+. Separately, NSE Indic…",https://economictimes.indiatimes.com/markets/stocks/news/indusind-bank-in-focus-as-crisil-reaffirms-aa-rating-stock-exits-nifty50/articleshow/123493567.cms,"https://img.etimg.com/thumb/msid-123493557,width-1200,height-630,imgsize-29944,overlay-etmarkets/articleshow.jpg",2025-08-25 03:48:06+00:00,"Shares of IndusInd Bank will be in focus on Monday, August 25, following two key developments. CRISIL Ratings has reaffirmed its AA+ rating on the lenders debt instruments, while the stock has been d… [+1565 chars]",2025-08-25,negative,-0.9987514210188237
"{'id': None, 'name': 'BusinessLine'}","Team BL, KS Badri Narayanan","Share Market Highlights: Sensex gains 329 points, Nifty near 25,000 as IT stocks rally; rupee ends lower","Sensex, Nifty updates on 25 August 2025: Benchmark indices rebounded on Monday, with the Sensex rising 329 points to 81,635.91 and the Nifty gaining 97.65 points to 24,967.75, tracking global optimism over a potential US Fed rate cut. IT stocks led the rally,…",https://www.thehindubusinessline.com/markets/stock-market-highlights-25th-aug-2025/article69972681.ece,https://bl-i.thgim.com/public/incoming/j84ntg/article69972677.ece/alternates/LANDSCAPE_1200/IMG_PO27_Markets_2_1_7QEA4EGP.jpg,2025-08-25 01:21:00+00:00,"<li></li>
August 25, 2025 16:16The live blog is now closed.
<li></li>
August 25, 2025 16:13Share market live today: Swan Energy Rebrands as Swan Corp, Announces Strategic Focus on High-Growth Sect… [+70387 chars]",2025-08-25,neutral,-1.1511206423620024e-06
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Sanket Dhanorkar,Gen Z savvy investors but 55% living paycheck to paycheck: Can they achieve financial security with these money habits?,"Gen Z thinks differently, and that reflects in their spending priorities and investment habits. Some quirks aside, they have a good shot at achieving financial security.",https://economictimes.indiatimes.com/wealth/invest/gen-z-savvy-investors-but-55-living-paycheck-to-paycheck-can-they-achieve-financial-security-with-these-money-habits/articleshow/123466010.cms,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-74416,resizemode-75,msid-123466010/wealth/invest/gen-z-savvy-investors-but-55-living-paycheck-to-paycheck-can-they-achieve-financial-security-with-these-money-habits.jpg",2025-08-25 01:00:00+00:00,"Bingeing on a heady cocktail of Instagram reels, K-pop and Boba tea, the Gen Z cohort those born between 1997 and 2012has emerged as Indias largest demographic group. Now aged between 13 and 28, a ri… [+14764 chars]",2025-08-25,negative,-0.9998736408324476
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Nikhil Agarwal,Fund Manager Talk | Srinivas Rao Ravuri backs beaten-down QSR stocks for a surprise comeback,"Bajaj Allianz Life’s CIO expects Indian equities to remain constructive over the next 12–18 months, with earnings revival from Q3 FY26. Consumption, pharma, and select financials lead growth prospects, aided by GST cuts and rate relief. QSR stocks, despite re…",https://economictimes.indiatimes.com/markets/stocks/news/fund-manager-talk-srinivas-rao-ravuri-backs-beaten-down-qsr-stocks-for-a-surprise-comeback/articleshow/123481544.cms,"https://img.etimg.com/thumb/msid-123481559,width-1200,height-630,imgsize-136572,overlay-etmarkets/articleshow.jpg",2025-08-24 06:49:31+00:00,"Srinivas Rao Ravuri, CIO of Bajaj Allianz Life Insurance, sees opportunity in an unlikely corner of the marketquick service restaurant (QSR) stocks. After several quarters of weak growth and sharp un… [+7573 chars]",2025-08-24,neutral,0.011462639435194433
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET CONTRIBUTORS,"Nifty ends week in green; Aug 26 & 28 key dates to watch for possible reversals, says Harshubh Shah","The Indian market ended the week positively, with Nifty50 up ~1%. FIIs remained net sellers, offloading equities worth Rs 25,564 crore in August, totaling Rs 1,57,440 crore in 2025. Key support and resistance levels, along with intraday time clusters, indicat…",https://economictimes.indiatimes.com/markets/stocks/nifty-ends-week-in-green-aug-26-28-key-dates-to-watch-for-possible-reversals-says-harshubh-shah/articleshow/123481395.cms,"https://img.etimg.com/thumb/msid-123481392,width-1200,height-630,imgsize-80448,overlay-etmarkets/articleshow.jpg",2025-08-24 06:31:53+00:00,"The Indian market ended the week on a positive note, with the Nifty50 closing with gains of about 1% for the week ended August 22, marking the second consecutive week of advances.However, foreign ins… [+2248 chars]",2025-08-24,negative,-0.9999870609467507
